ID,名称,読みがな,効果
1,明日には消える,あすにはきえる,[+17]追加ダメージ [+10%]必殺威力の増減(%) [+20%]魔法威力の増減(%) [+20%]ブレス威力の増減(%) [+150]魔法回復量アップ [-11%]物理ダメージ軽減(%) [-11%]魔法ダメージ軽減(%) [30%]魔法攻撃力→命中精度
2,ありえない,ありえない,[+30%]魔法威力の増減(%) [-12%]ブレスダメージ軽減(%) [1.90]取得GP [+40%]アイテム獲得+
3,主を欺く,しゅをあざむく,[+16]追加ダメージ [+120]防御力アップ [+30%]魔法威力の増減(%) [3/5]ブレスに強い [抵抗]ニュークリア [1.90]獲得経験値 [戦術]核撃増幅Lv1
4,主を導く,しゅをみちびく,[+20%]攻撃威力の増減(%) [+150]防御力アップ [+150]魔法攻撃力アップ [-12%]魔法ダメージ軽減(%) [抵抗]サンダーボルト [成長1.2倍]才能と努力
5,息が止まる,いきがとまる,[+6]攻撃回数アップ [+120]防御力アップ [+120]回避能力アップ [+120]魔法防御力アップ [+10%]攻撃威力の増減(%) [-12%]ブレスダメージ軽減(%) [1.90]取得GP [戦術]ブレス結界Lv2
6,石にめり込む,いしにめりこむ,[戦術]先制攻撃 [戦術]高速行動 [+7]攻撃回数アップ [+18]追加ダメージ [+150]回避能力アップ [+150]魔法攻撃力アップ [+10%]必殺威力の増減(%) [+10%]魔法威力の増減(%) [3/5]貫通防御 [抵抗]サンダーボルト
7,異次元にある,いじげんにある,[+17]追加ダメージ [1.5倍]不死に特効 [1.4倍]サンダーボルト [-11%]物理ダメージ軽減(%) [-12%]魔法ダメージ軽減(%) [無効]反撃無効
8,いずれ奪われる,いずれうばわれる,[+17]追加ダメージ [+10%]攻撃威力の増減(%) [+10%]必殺威力の増減(%) [+10%]魔法威力の増減(%) [1.5倍]竜族に特効 [1.5倍]魔物に特効 [+20%]ブレス威力の増減(%) [+130]命中精度アップ [+140]回避能力アップ [+140]魔法攻撃力アップ [-11%]物理ダメージ軽減(%) [-11%]魔法ダメージ軽減(%)
9,ウサギに噛まれる,うさぎにかまれる,[+150]回避能力アップ [+150]魔法回復量アップ [抵抗]マジックアロー [抵抗]ファイヤーボール [抵抗]ブリザード [抵抗]サンダーボルト [抵抗]ニュークリア [1.90]獲得経験値 [1.90]取得GP
10,永久なる,えいきゅうなる,[+16]追加ダメージ [+170]命中精度アップ [1.5倍]不死に特効 [3/5]攻撃に強い [不死]アンデッド
11,選ばれし,えらばれし,[+20%]必殺威力の増減(%) [1.4倍]マジックアロー [1.5倍]人型に特効 [-13%]物理ダメージ軽減(%) [最大70]必殺率最大値 [1.90]獲得経験値
12,落とし物の,おとしものの,[+150]魔法防御力アップ [-12%]魔法ダメージ軽減(%) [+40%]アイテム獲得+ [1.50]名称付き [戦術]魔法結界Lv2
13,終わらない,おわらない,[+200]魔法回復量アップ [3/5]貫通防御 [x2.0]即時蘇生
14,勝手に動く,かってにうごく,[+110]命中精度アップ [+140]回避能力アップ [3/5]クリティカル・ガード [-12%]物理ダメージ軽減(%) [15%]攻防戦術
15,神の封じた,かみのふうじた,[+16]追加ダメージ [+120]魔法攻撃力アップ [+120]魔法防御力アップ [1.5倍]神魔に特効 [-11%]物理ダメージ軽減(%) [-12%]魔法ダメージ軽減(%) [-11%]ブレスダメージ軽減(%) [20%]魔法攻撃力→攻撃力 [1.50]名称付き
16,歓喜を呼ぶ,かんきをよぶ,[10%]攻撃力→HP [10%]防御力→HP [10%]魔法攻撃力→HP [10%]魔法回復量→HP [+6]攻撃回数アップ [+16]追加ダメージ [+150]命中精度アップ [+150]防御力アップ [+150]回避能力アップ [+150]魔法攻撃力アップ [+150]魔法回復量アップ [+150]魔法防御力アップ [+10%]攻撃威力の増減(%) [+10%]魔法威力の増減(%) [-11%]物理ダメージ軽減(%) [-11%]魔法ダメージ軽減(%) [-11%]ブレスダメージ軽減(%) [1.90]獲得経験値
17,奇跡的な,きせきてきな,[+7]攻撃回数アップ [+170]命中精度アップ [1.5倍]竜族に特効 [3/5]クリティカル・ガード [-12%]物理ダメージ軽減(%) [30%]魔法回復量→HP
18,偽装されし,ぎそうされし,[+17]追加ダメージ [+10%]必殺威力の増減(%) [1.5倍]人型に特効 [-11%]物理ダメージ軽減(%) [-12%]魔法ダメージ軽減(%) [10%]攻防戦術
19,北を向く,きたをむく,[+17]追加ダメージ [+10%]攻撃威力の増減(%) [+10%]魔法威力の増減(%) [+10%]ブレス威力の増減(%) [+150]防御力アップ [3/5]ブレスに強い [-12%]ブレスダメージ軽減(%) [30%]魔法回復量→魔法防御力
20,幸運を呼ぶ,こううんをよぶ,[+17]追加ダメージ [+120]回避能力アップ [+120]魔法攻撃力アップ [3/5]クリティカル・ガード [+40%]アイテム獲得+ [1.50]名称付き
21,恍惚なる,こうこつなる,[1.4倍]ブリザード [+30%]ブレス威力の増減(%) [+200]魔法回復量アップ [抵抗]マジックアロー [抵抗]ファイヤーボール [抵抗]ブリザード [20%]回復能力Lv4
22,幸福なる,こううんなる,[+120]防御力アップ [+120]魔法防御力アップ [3/5]攻撃に強い [3/5]魔法に強い [15%]全体回復Lv5
23,虚空から現れし,こくうからあらわれし,[+150]防御力アップ [+150]魔法防御力アップ [抵抗]サンダーボルト [抵抗]ニュークリア [20%]魔法攻撃力→HP [1.90]獲得経験値
24,拳で語る,こぶしでかたる,[+170]命中精度アップ [+150]防御力アップ [+150]回避能力アップ [1.5倍]格闘1.5倍 [1.6倍]格闘1.6倍 [+10]攻撃力アップ [+20]攻撃力アップ [+30]攻撃力アップ [+50]攻撃力アップ
25,最後の,さいごの,[+150]攻撃力アップ [+20%]必殺威力の増減(%) [1.4倍]ファイヤーボール [-11%]物理ダメージ軽減(%) [-12%]魔法ダメージ軽減(%) [10%]攻撃力→HP
26,最初の,さいしょの,[+16]追加ダメージ [+120]命中精度アップ [+120]防御力アップ [+120]魔法攻撃力アップ [-11%]物理ダメージ軽減(%) [-12%]魔法ダメージ軽減(%) [戦術]高速行動
27,逆らい続ける,さからいつづける,[+20%]攻撃威力の増減(%) [+20%]魔法威力の増減(%) [+20%]ブレス威力の増減(%) [-11%]物理ダメージ軽減(%) [-11%]魔法ダメージ軽減(%) [10%]攻防戦術
28,先を行く,さきをいく,[+17]追加ダメージ [+170]命中精度アップ [+20%]攻撃威力の増減(%) [+10%]魔法威力の増減(%) [+10%]ブレス威力の増減(%) [-12%]魔法ダメージ軽減(%) [-11%]ブレスダメージ軽減(%) [20%]攻防戦術
29,残像が残る,ざんぞうがのこる,[+8]攻撃回数アップ [+10%]必殺威力の増減(%) [-11%]魔法ダメージ軽減(%) [-11%]ブレスダメージ軽減(%) [20%]魔法回復量→命中精度
30,死期に手に入る,しきにてにはいる,[10%]攻撃力→HP [+7]攻撃回数アップ [+17]追加ダメージ [+150]魔法攻撃力アップ [+150]魔法回復量アップ [+150]魔法防御力アップ [+10%]攻撃威力の増減(%) [+10%]魔法威力の増減(%) [8%]吸収能力Lv2
31,時空を超える,じくうをこえる,[+150]命中精度アップ [+150]防御力アップ [+10%]必殺威力の増減(%) [+10%]ブレス威力の増減(%) [3/5]クリティカル・ガード [20%]魔法回復量→魔法防御力 [1.90]獲得経験値
32,質量がおかしい,しつりょうがおかしい,[+20%]必殺威力の増減(%) [+150]回避能力アップ [+150]防御力アップ [抵抗]ブリザード [抵抗]サンダーボルト [戦術]シフトチェンジ
33,自慢したい,じまんしたい,[1.90]獲得経験値 [1.90]取得GP [+40%]アイテム獲得+ [1.50]名称付き
34,主人より賢い,しゅじんよりかしこい,[+120]回避能力アップ [+150]魔法攻撃力アップ [+120]魔法防御力アップ [+20%]魔法威力の増減(%) [-12%]ブレスダメージ軽減(%) [1.90]取得GP [成長1.1倍]優良種 [戦術]魔矢増幅Lv1
35,知られざる,しられざる,[+30%]必殺威力の増減(%) [3/5]魔法に強い [成長1.2倍]才能と努力
36,真実を知る,しんじつをしる,[+16]追加ダメージ [+10%]攻撃威力の増減(%) [+10%]魔法威力の増減(%) [+10%]ブレス威力の増減(%) [+150]魔法攻撃力アップ [+150]魔法回復量アップ [3/5]魔法に強い [30%]魔法攻撃力→HP
37,透き通る,すきとおる,[+16]追加ダメージ [+20%]魔法威力の増減(%) [+120]回避能力アップ [抵抗]ファイヤーボール [抵抗]ブリザード [抵抗]ニュークリア [20%]魔法回復量→HP [+40%]アイテム獲得+
38,全てが見える,すべてがみえる,[+16]追加ダメージ [+10%]必殺威力の増減(%) [+150]回避能力アップ [+150]命中精度アップ [抵抗]マジックアロー [30%]魔法回復量→命中精度
39,全てを破壊する,すべてをはかいする,[+6]攻撃回数アップ [+17]追加ダメージ [+150]命中精度アップ [+10%]必殺威力の増減(%) [-12%]物理ダメージ軽減(%) [-12%]ブレスダメージ軽減(%) [30%]魔法回復量→魔法攻撃力
40,世界が変わる,せかいがかわる,[+17]追加ダメージ [+170]命中精度アップ [10%]攻撃力→HP [20%]魔法回復量→HP [20%]魔法攻撃力→HP
41,世界を征する,せかいをせいする,[+7]攻撃回数アップ [+17]追加ダメージ [+20%]魔法威力の増減(%) [+20%]ブレス威力の増減(%) [+150]防御力アップ [+150]魔法防御力アップ [3/5]クリティカル・ガード [-12%]魔法ダメージ軽減(%) [-12%]ブレスダメージ軽減(%) [成長1.6倍]王者
42,摂理を超える,せつりをこえる,[+17]追加ダメージ [+20%]攻撃威力の増減(%) [+20%]魔法威力の増減(%) [+120]魔法攻撃力アップ [-11%]魔法ダメージ軽減(%) [-11%]ブレスダメージ軽減(%) [+40%]アイテム獲得+ [1.50]名称付き
43,攻め続ける,せめつづける,[+7]攻撃回数アップ [+10%]必殺威力の増減(%) [+130]魔法攻撃力アップ [1.4倍]マジックアロー [-12%]物理ダメージ軽減(%) [-12%]ブレスダメージ軽減(%) [8%]吸収能力Lv2 [10%]攻撃力→HP
44,存在の許されない,そんざいのゆるされない,[+120]回避能力アップ [-13%]魔法ダメージ軽減(%) [30%]魔法回復量→攻撃力
45,血に飢えし,ちにうえし,[+17]追加ダメージ [+10%]攻撃威力の増減(%) [+20%]ブレス威力の増減(%) [+140]魔法攻撃力アップ [1.5倍]魔物に特効 [12%]吸収能力Lv3
46,超,ちょう,[+6]攻撃回数アップ [+150]命中精度アップ [+10%]攻撃威力の増減(%) [+10%]ブレス威力の増減(%) [-11%]物理ダメージ軽減(%) [成長1.3倍]超人
47,直視できない,ちょくしできない,[+6]攻撃回数アップ [+170]命中精度アップ [+120]防御力アップ [+150]回避能力アップ [+120]魔法防御力アップ [+10%]必殺威力の増減(%) [-12%]物理ダメージ軽減(%) [-11%]ブレスダメージ軽減(%) [3/5]貫通防御 [抵抗]マジックアロー [+40%]アイテム獲得+ [戦術]物理結界Lv2
48,強い気がする,つよいきがする,[15%]防御力→HP [+17]追加ダメージ [+150]防御力アップ [+120]魔法攻撃力アップ [+150]魔法回復量アップ [+10%]必殺威力の増減(%) [+10%]ブレス威力の増減(%) [-11%]魔法ダメージ軽減(%) [3/5]クリティカル・ガード [1.90]獲得経験値
49,手元に戻る,てもとにもどる,[+170]命中精度アップ [-12%]魔法ダメージ軽減(%) [-11%]ブレスダメージ軽減(%) [戦術]遠距離攻撃適正
50,天下無双の,てんかむそうの,[+7]攻撃回数アップ [+170]命中精度アップ [+120]防御力アップ [+10%]攻撃威力の増減(%) [-11%]物理ダメージ軽減(%) [3/5]攻撃に強い [15%]回復能力Lv3 [12%]全体回復Lv4
51,天に与えられし,てんにあたえられし,[+17]追加ダメージ [+150]命中精度アップ [+10%]攻撃威力の増減(%) [+10%]魔法威力の増減(%) [+10%]ブレス威力の増減(%) [1.5倍]神魔に特効 [抵抗]ファイヤーボール [抵抗]ブリザード [成長1.3倍]超人
52,投擲用の,とうてきようの,[+6]攻撃回数アップ [+17]追加ダメージ [+100]攻撃力アップ [+150]命中精度アップ [+20%]必殺威力の増減(%) [武器]遠距離攻撃 [戦術]遠距離攻撃適正
53,どう見ても,どうみても,[+16]追加ダメージ [+150]魔法攻撃力アップ [-12%]魔法ダメージ軽減(%) [-11%]ブレスダメージ軽減(%) [+40%]アイテム獲得+ [1.50]名称付き
54,解き放つ,ときはなつ,[+130]命中精度アップ [+120]回避能力アップ [+130]魔法攻撃力アップ [+120]魔法防御力アップ [+10%]魔法威力の増減(%) [+10%]ブレス威力の増減(%) [-11%]物理ダメージ軽減(%) [抵抗]ファイヤーボール [戦術]炎撃増幅Lv1
55,鈍器になる,どんきになる,[+6]攻撃回数アップ [+17]追加ダメージ [+100]攻撃力アップ [+150]命中精度アップ [+20%]攻撃威力の増減(%) [武器]近距離攻撃 [戦術]近距離攻撃適正
56,引き継がれる,ひきつがれる,[成長1.1倍]優良種 [+17]追加ダメージ [+150]防御力アップ [+140]魔法攻撃力アップ [+10%]魔法威力の増減(%) [-11%]魔法ダメージ軽減(%) [抵抗]マジックアロー [抵抗]ファイヤーボール [抵抗]ブリザード [1.90]取得GP
57,引き寄せる,ひきよせる,[+17]追加ダメージ [+10%]魔法威力の増減(%) [+10%]ブレス威力の増減(%) [-13%]魔法ダメージ軽減(%) [戦術]近距離攻撃適正
58,秘密を語る,ひみつをかたる,[+17]追加ダメージ [+10%]必殺威力の増減(%) [+10%]魔法威力の増減(%) [+130]命中精度アップ [+130]魔法攻撃力アップ [+130]魔法防御力アップ [抵抗]マジックアロー [最大80]必殺率最大値
59,触れてはならない,ふれてはならない,[+18]追加ダメージ [+10%]必殺威力の増減(%) [+150]魔法攻撃力アップ [16%]吸収能力Lv4
60,べっとりと付いた,べっとりとついた,[+6]攻撃回数アップ [+130]命中精度アップ [+120]防御力アップ [+150]魔法防御力アップ [+20%]必殺威力の増減(%) [戦術]強制蘇生
61,舞い降りた,まいおりた,[+7]攻撃回数アップ [+17]追加ダメージ [+120]回避能力アップ [+130]魔法攻撃力アップ [+150]魔法回復量アップ [+150]魔法防御力アップ [+10%]魔法威力の増減(%) [-11%]魔法ダメージ軽減(%) [3/5]クリティカル・ガード [抵抗]ブリザード [1.50]名称付き [成長1.1倍]優良種 [戦術]冷撃増幅Lv1
62,未来の運を吸う,みらいのうんをすう,[+20%]必殺威力の増減(%) [+20%]魔法威力の増減(%) [+20%]ブレス威力の増減(%) [3/5]クリティカル・ガード [-11%]魔法ダメージ軽減(%) [最大70]必殺率最大値 [+40%]アイテム獲得+
63,もう手放せない,もうてばなせない,[+100]攻撃力アップ [+100]命中精度アップ [+100]防御力アップ [+100]回避能力アップ [+100]魔法攻撃力アップ [+100]魔法回復量アップ [+100]魔法防御力アップ [+20%]攻撃威力の増減(%) [+20%]魔法威力の増減(%) [+20%]ブレス威力の増減(%) [-11%]物理ダメージ軽減(%) [-12%]魔法ダメージ軽減(%)
64,求め続けた,もとめつづけた,[+10%]攻撃威力の増減(%) [+10%]必殺威力の増減(%) [+10%]魔法威力の増減(%) [+10%]ブレス威力の増減(%) [-11%]物理ダメージ軽減(%) [-11%]魔法ダメージ軽減(%) [-11%]ブレスダメージ軽減(%) [1.90]取得GP [+40%]アイテム獲得+ [1.50]名称付き
65,焼き尽くす,やきつくす,[+120]防御力アップ [+120]魔法防御力アップ [+20%]ブレス威力の増減(%) [3/5]攻撃に強い [3/5]ブレスに強い [戦術]ファイヤーブレス [戦術]ブレス増幅Lv1
66,夢の中で手に入れし,ゆめのなかでてにいれし,[+17]追加ダメージ [+10%]魔法威力の増減(%) [+10%]ブレス威力の増減(%) [3/5]魔法に強い [-12%]魔法ダメージ軽減(%) [無効]眠り無効
67,夜に光る,よるにひかる,[+16]追加ダメージ [+130]命中精度アップ [+150]魔法攻撃力アップ [+150]魔法回復量アップ [+20%]魔法威力の増減(%) [-12%]物理ダメージ軽減(%) [成長1.1倍]優良種 [戦術]雷撃増幅Lv1
68,世を導く,よをみちびく,[+20%]攻撃威力の増減(%) [+20%]必殺威力の増減(%) [+10%]魔法威力の増減(%) [+10%]ブレス威力の増減(%) [+150]命中精度アップ [+150]防御力アップ [+150]魔法防御力アップ [3/5]攻撃に強い [抵抗]ニュークリア [成長1.2倍]才能と努力
69,理解できない,りかいできない,[+30%]攻撃威力の増減(%) [1.90]獲得経験値 [1.90]取得GP
70,災いの中心にある,わざわいのちゅうしんにある,[+16]追加ダメージ [+120]魔法攻撃力アップ [1.4倍]ニュークリア [-12%]物理ダメージ軽減(%) [-12%]魔法ダメージ軽減(%) [30%]魔法攻撃力→攻撃力
